CustomerID,CustomerName,CustomerType,Industry,Country,Region,City,StateProvince,PostalCode,SignupDate,CustomerSegment
C00046,Sarah Santos,B2C,Consumer,Singapore,Asia Pacific,Singapore,,89331,2023-12-28,Consumer
C00047,Pinnacle Solutions,B2B,Construction,Germany,Europe,Munich,,91880,2024-12-13,Small Business
C00048,Union Ventures,B2B,Hospitality,Mexico,North America,Mexico City,,93225,2024-11-12,Mid-Market
C00049,Redwood Ventures,B2B,Telecommunications,India,Asia Pacific,Bengaluru,,50215,2025-04-03,Enterprise
C00050,Cascade Mart,B2B,Pharmaceuticals,Canada,North America,Toronto,,51746,2025-03-25,Mid-Market
C00051,Pinnacle Partners,B2B,Food & Beverage,Canada,North America,Toronto,,93516,2025-03-01,Mid-Market
C00052,Bluewave Systems,B2B,Manufacturing,Mexico,North America,Mexico City,,56317,2023-03-20,Mid-Market
C00053,Frontier Depot,B2B,Consumer Goods,Vietnam,Asia Pacific,Ho Chi Minh City,,26279,2024-10-07,Mid-Market
C00054,Quantum Mart,B2B,Technology,India,Asia Pacific,Mumbai,,29394,2025-04-23,Small Business
C00055,William Cohen,B2C,Consumer,Australia,Asia Pacific,Melbourne,,45575,2023-07-03,Consumer
C00056,Mark Martinez,B2C,Consumer,Australia,Asia Pacific,Sydney,,24075,2023-09-10,Consumer
C00057,Mia Bernard,B2C,Consumer,Poland,Europe,Warsaw,,71399,2023-09-03,Consumer
C00058,Lukas Smith,B2C,Consumer,United Kingdom,Europe,Manchester,,74955,2025-12-21,Consumer
C00059,Crest Supply Co.,B2B,Food & Beverage,Mexico,North America,Mexico City,,37287,2023-09-04,Small Business
C00060,Sven Khan,B2C,Consumer,United States,North America,Phoenix,AZ,34221,2025-11-18,Consumer
C00061,Beacon Ventures,B2B,Government,Australia,Asia Pacific,Sydney,,77424,2025-01-13,Mid-Market
C00062,Nova Enterprises,B2B,Food & Beverage,France,Europe,Paris,,19433,2025-07-21,Mid-Market
C00063,Beacon Depot,B2B,Hospitality,Poland,Europe,Gdansk,,69027,2023-10-07,Enterprise
C00064,Prime Merchants,B2B,Education,Singapore,Asia Pacific,Singapore,,86390,2023-01-25,Enterprise
C00065,Redwood Mart,B2B,Technology,Australia,Asia Pacific,Melbourne,,21355,2023-03-20,Small Business
C00066,Richard Lee,B2C,Consumer,Germany,Europe,Frankfurt,,82743,2024-08-25,Consumer
C00067,Silverline Depot,B2B,Consumer Goods,Netherlands,Europe,Rotterdam,,37024,2024-09-05,Mid-Market
C00068,Pinnacle Retail Group,B2B,Manufacturing,Mexico,North America,Mexico City,,,2024-01-22,Small Business
C00069,Apex Commerce,B2B,Government,United States,North America,Atlanta,TX,14125,2025-05-01,Small Business
C00070,Redwood Distribution,B2B,Healthcare,Spain,Europe,Madrid,,24611,2023-02-16,Mid-Market
C00071,Richard Wang,B2C,Consumer,Canada,North America,Toronto,,57932,2025-10-11,Consumer
C00072,Sven Patel,B2C,Consumer,Germany,Europe,Hamburg,,27657,2023-01-14,Consumer
C00073,Bluewave Solutions,B2B,Manufacturing,Colombia,Latin America,Bogota,,65243,2023-03-08,Small Business
C00074,Meridian Enterprises,B2B,Government,Canada,North America,Vancouver,,26507,2025-03-21,Enterprise
C00075,Frontier Partners,B2B,Hospitality,Mexico,North America,Mexico City,,75980,2023-05-23,Small Business
C00076,Silverline Wholesale,B2B,Education,Mexico,North America,Monterrey,,95216,2025-10-30,Small Business
C00077,Anthony Dubois,B2C,Consumer,Mexico,North America,Mexico City,,21168,2023-09-22,Consumer
C00078,Mohammed Sharma,B2C,Consumer,China,Asia Pacific,Shenzhen,,87187,2023-06-15,Consumer
C00079,Summit Solutions,B2B,Energy,France,Europe,Paris,,40153,2024-07-14,Mid-Market
C00080,Carlos Williams,B2C,Consumer,Singapore,Asia Pacific,Singapore,,27071,2024-05-04,Consumer
C00081,Vantage Holdings,B2B,Healthcare,India,Asia Pacific,Bengaluru,,71877,2023-07-25,Enterprise
C00082,Pioneer Mart,B2B,Telecommunications,Netherlands,Europe,Rotterdam,,48314,2024-03-30,Mid-Market
C00083,Harbor Industries,B2B,Government,India,Asia Pacific,Delhi,,11239,2024-03-28,Enterprise
C00084,Pinnacle Networks,B2B,Retail,Canada,North America,Vancouver,,23043,2024-02-19,Mid-Market
C00085,Meridian Import Export,B2B,Automotive,United States,North America,Newark,IL,80453,2023-04-17,Enterprise
C00086,Pierre Khan,B2C,Consumer,United States,North America,Phoenix,NJ,34256,2023-11-09,Consumer
C00087,Union Mart,B2B,Consumer Goods,Vietnam,Asia Pacific,Hanoi,,18268,2024-08-22,Enterprise
C00088,Global Trading Co.,B2B,Pharmaceuticals,Spain,Europe,Madrid,,53181,2023-01-04,Mid-Market
C00089,Pioneer Logistics,B2B,Telecommunications,United States,North America,Atlanta,CA,14127,2025-11-02,Mid-Market
C00090,Valentina Patel,B2C,Consumer,Netherlands,Europe,Rotterdam,,33294,2025-12-03,Consumer
C00091,Vertex Holdings,B2B,Automotive,Mexico,North America,Guadalajara,,92067,2025-07-26,Mid-Market
C00092,Metro Enterprises,B2B,Retail,Vietnam,Asia Pacific,Ho Chi Minh City,,28016,2024-09-09,Mid-Market
C00093,Coastal Holdings,B2B,Food & Beverage,France,Europe,Paris,,51421,2024-01-25,Mid-Market
C00094,Betty Brown,B2C,Consumer,France,Europe,Lyon,,48628,2024-09-18,Consumer
C00095,Prime Ventures,B2B,Manufacturing,Canada,North America,Montreal,,77239,2025-01-13,Mid-Market
C00096,Jessica Li,B2C,Consumer,China,Asia Pacific,Ningbo,,74222,2024-03-31,Consumer
C00097,Vertex Partners,B2B,Pharmaceuticals,France,Europe,Lyon,,41290,2024-08-07,Enterprise
C00098,Crest Holdings,B2B,Retail,United States,North America,Chicago,FL,31622,2025-04-12,Enterprise
C00099,Sterling Merchants,B2B,Technology,United States,North America,Atlanta,IL,40510,2025-12-10,Mid-Market
C00100,Global Holdings,B2B,Energy,United Arab Emirates,Middle East & Africa,Abu Dhabi,,93566,2024-01-20,Small Business
C00101,Global Solutions,B2B,Manufacturing,Colombia,Latin America,Medellin,,25284,2025-04-18,Small Business
C00102,Emma Schmidt,B2C,Consumer,Japan,Asia Pacific,Tokyo,,93434,2023-12-05,Consumer
C00103,Anchor Holdings,B2B,Government,Mexico,North America,Mexico City,,79316,2025-01-02,Enterprise
C00104,Pierre Lee,B2C,Consumer,Egypt,Middle East & Africa,Cairo,,86660,2023-04-18,Consumer
C00105,Atlas Depot,B2B,Technology,India,Asia Pacific,Delhi,,89146,2023-02-22,Mid-Market
C00106,Pinnacle Industries,B2B,Energy,Vietnam,Asia Pacific,Hanoi,,43701,2024-07-04,Mid-Market
C00107,Horizon Commerce,B2B,Education,Netherlands,Europe,Rotterdam,,84151,2024-06-13,Mid-Market
C00108,Hiroshi Cohen,B2C,Consumer,Mexico,North America,Guadalajara,,,2023-07-01,Consumer
C00109,Nancy Zhang,B2C,Consumer,Canada,North America,Toronto,,93662,2023-07-01,Consumer
C00110,Fatima Thomas,B2C,Consumer,Argentina,Latin America,Buenos Aires,,11102,2023-03-06,Consumer
C00111,Meridian Logistics,B2B,Government,Germany,Europe,Frankfurt,,94333,2024-03-14,Enterprise
C00112,Vertex Ventures,B2B,Technology,United States,North America,Dallas,TX,74158,2025-02-25,Mid-Market
C00113,Cascade Import Export,B2B,Construction,Mexico,North America,Guadalajara,,90842,2024-06-12,Small Business
C00114,Ingrid Lee,B2C,Consumer,Germany,Europe,Frankfurt,,76367,2023-12-11,Consumer
C00115,Susan Park,B2C,Consumer,Canada,North America,Toronto,,63194,2023-10-05,Consumer
C00116,Quantum Ventures,B2B,Government,Brazil,Latin America,Sao Paulo,,95485,2025-05-25,Enterprise
C00117,Ironclad Industries,B2B,Consumer Goods,Japan,Asia Pacific,Osaka,,85212,2024-02-08,Mid-Market
C00118,Coastal Traders,B2B,Technology,India,Asia Pacific,Bengaluru,,33570,2025-02-02,Enterprise
C00119,Redwood Partners,B2B,Consumer Goods,United Kingdom,Europe,Manchester,,33908,2025-04-25,Mid-Market
C00120,Carlos Khan,B2C,Consumer,Vietnam,Asia Pacific,Ho Chi Minh City,,99132,2025-05-19,Consumer
C00121,Bluewave Retail Group,B2B,Manufacturing,Poland,Europe,Gdansk,,21390,2023-02-03,Mid-Market
C00122,Lucas Nguyen,B2C,Consumer,India,Asia Pacific,Delhi,,65118,2025-10-12,Consumer
C00123,Patricia Williams,B2C,Consumer,Canada,North America,Montreal,,29464,2025-02-16,Consumer
C00124,Global Enterprises,B2B,Agriculture,Poland,Europe,Gdansk,,72249,2024-01-07,Small Business
C00125,Kwame Jones,B2C,Consumer,United States,North America,Atlanta,WA,24845,2023-08-07,Consumer
C00126,Harbor Holdings,B2B,Telecommunications,Netherlands,Europe,Amsterdam,,90912,2023-02-13,Small Business
C00127,Valentina Jackson,B2C,Consumer,United States,North America,Phoenix,GA,88509,2025-04-09,Consumer
C00128,Beacon Mart,B2B,Hospitality,United States,North America,Dallas,CA,84391,2024-10-17,Small Business
C00129,Pinnacle Supply Co.,B2B,Healthcare,Canada,North America,Vancouver,,84206,2023-11-12,Enterprise
C00130,Crest Depot,B2B,Manufacturing,France,Europe,Lyon,,17224,2025-03-28,Mid-Market
C00131,Vertex Enterprises,B2B,Manufacturing,Canada,North America,Montreal,,23965,2024-09-20,Mid-Market
C00132,Nancy Rodriguez,B2C,Consumer,Argentina,Latin America,Buenos Aires,,72077,2023-04-16,Consumer
C00133,Quantum Logistics,B2B,Hospitality,Poland,Europe,Warsaw,,95353,2023-07-06,Enterprise
C00134,Silverline Depot,B2B,Pharmaceuticals,United Kingdom,Europe,London,,18003,2023-03-24,Small Business
C00135,Valentina Anderson,B2C,Consumer,Spain,Europe,Madrid,,48361,2025-04-21,Consumer
C00136,Vantage Depot,B2B,Automotive,Mexico,North America,Mexico City,,36149,2023-06-14,Small Business
C00137,Vantage Merchants,B2B,Telecommunications,South Africa,Middle East & Africa,Johannesburg,,47671,2025-06-25,Mid-Market
C00138,Nova Industries,B2B,Telecommunications,France,Europe,Lyon,,13662,2023-12-01,Mid-Market
C00139,Vantage Ventures,B2B,Healthcare,India,Asia Pacific,Chennai,,86289,2025-11-25,Small Business
C00140,Vertex Retail Group,B2B,Hospitality,Canada,North America,Toronto,,40194,2025-04-15,Small Business
C00141,Summit Industries,B2B,Energy,Poland,Europe,Warsaw,,10984,2024-09-07,Mid-Market
C00142,Coastal Enterprises,B2B,Food & Beverage,United Kingdom,Europe,Birmingham,,29927,2023-05-16,Mid-Market
C00143,Wei Tran,B2C,Consumer,Egypt,Middle East & Africa,Cairo,,32253,2023-08-12,Consumer
C00144,Beacon Merchants,B2B,Education,Poland,Europe,Warsaw,,27723,2025-01-17,Small Business
C00145,Frontier Supply Co.,B2B,Construction,Netherlands,Europe,Amsterdam,,16063,2023-05-31,Mid-Market
C00146,Pinnacle Solutions,B2B,Pharmaceuticals,Mexico,North America,Monterrey,,19543,2023-04-17,Small Business
C00147,Redwood Holdings,B2B,Energy,United States,North America,Chicago,GA,74650,2025-09-04,Small Business
C00148,Mohammed Brown,B2C,Consumer,United Kingdom,Europe,Birmingham,,70438,2024-10-05,Consumer
C00149,Bluewave Retail Group,B2B,Construction,Poland,Europe,Warsaw,,53323,2024-01-06,Mid-Market
C00150,Ironclad Ventures,B2B,Energy,United States,North America,Chicago,AZ,27031,2024-10-03,Small Business
C00151,Zenith Partners,B2B,Retail,China,Asia Pacific,Ningbo,,85981,2024-10-26,Enterprise
C00152,Ahmed Silva,B2C,Consumer,Chile,Latin America,Santiago,,63304,2024-03-13,Consumer
C00153,Anthony Zhang,B2C,Consumer,United States,North America,Columbus,FL,40472,2023-11-21,Consumer
C00154,Silverline Holdings,B2B,Technology,Spain,Europe,Madrid,,22870,2025-05-07,Enterprise
C00155,Anthony Patel,B2C,Consumer,United States,North America,Atlanta,CA,19517,2025-11-01,Consumer
C00156,Ironclad Solutions,B2B,Pharmaceuticals,Singapore,Asia Pacific,Singapore,,91112,2025-05-29,Enterprise
C00157,Nova Depot,B2B,Agriculture,Mexico,North America,Monterrey,,56992,2024-12-12,Small Business
C00158,Ling Robinson,B2C,Consumer,Australia,Asia Pacific,Sydney,,71470,2024-11-18,Small Business
C00159,Ironclad Logistics,B2B,Education,Japan,Asia Pacific,Osaka,,80254,2025-10-27,Small Business
C00160,Atlas Import Export,B2B,Manufacturing,Australia,Asia Pacific,Melbourne,,30945,2025-02-08,Enterprise
C00161,Crest Partners,B2B,Consumer Goods,Canada,North America,Toronto,,82730,2023-08-24,Enterprise
C00162,Sterling Merchants,B2B,Automotive,Argentina,Latin America,Buenos Aires,,95263,2023-06-15,Small Business
C00163,Harbor Commerce,B2B,Government,Mexico,North America,Monterrey,,11483,2024-07-31,Small Business
C00164,William Thompson,B2C,Consumer,Mexico,North America,Mexico City,,,2025-06-03,Small Business
C00165,Skyline Distribution,B2B,Healthcare,Germany,Europe,Frankfurt,,49986,2024-08-01,Mid-Market
C00166,Cascade Ventures,B2B,Education,United Kingdom,Europe,Manchester,,67935,2023-04-30,Mid-Market
C00167,Bluewave Retail Group,B2B,Construction,China,Asia Pacific,Shenzhen,,83424,2023-10-15,Mid-Market
C00168,Ling Anderson,B2C,Consumer,Australia,Asia Pacific,Melbourne,,52885,2024-07-20,Consumer
C00169,Summit Logistics,B2B,Consumer Goods,United States,North America,Columbus,GA,60181,2024-12-22,Enterprise
C00170,Horizon Commerce,B2B,Construction,Egypt,Middle East & Africa,Cairo,,22419,2025-02-02,Small Business
C00171,Mary Perez,B2C,Consumer,Mexico,North America,Mexico City,,,2023-03-26,Consumer
C00172,Pioneer Enterprises,B2B,Construction,Netherlands,Europe,Rotterdam,,67352,2024-05-09,Mid-Market
C00173,Quantum Networks,B2B,Hospitality,Mexico,North America,Guadalajara,,17986,2024-06-27,Small Business
C00174,Ingrid Clark,B2C,Consumer,Egypt,Middle East & Africa,Cairo,,73503,2024-03-26,Consumer
C00175,Global Wholesale,B2B,Government,Mexico,North America,Mexico City,,69944,2025-05-12,Mid-Market
C00176,Carlos Robinson,B2C,Consumer,United States,North America,Phoenix,NY,34402,2023-04-05,Consumer
C00177,Arjun Khan,B2C,Consumer,United Kingdom,Europe,Manchester,,41589,2025-09-15,Consumer
C00178,Crest Trading Co.,B2B,Automotive,United Arab Emirates,Middle East & Africa,Abu Dhabi,,40833,2024-01-14,Mid-Market
C00179,Apex Ventures,B2B,Food & Beverage,Chile,Latin America,Santiago,,66713,2024-08-18,Small Business
C00180,Harbor Distribution,B2B,Construction,China,Asia Pacific,Shanghai,,84353,2025-06-20,Enterprise
C00181,Lukas Thomas,B2C,Consumer,Colombia,Latin America,Medellin,,93014,2023-11-15,Consumer
C00182,Chen Jones,B2C,Consumer,Colombia,Latin America,Bogota,,45414,2025-12-24,Consumer
C00183,Rahul Gonzalez,B2C,Consumer,Poland,Europe,Warsaw,,78639,2024-03-08,Consumer
C00184,Ironclad Merchants,B2B,Technology,United States,North America,Dallas,IL,54244,2023-07-20,Mid-Market
C00185,Summit Supply Co.,B2B,Food & Beverage,Vietnam,Asia Pacific,Hanoi,,50254,2024-09-13,Mid-Market
C00186,Pioneer Partners,B2B,Manufacturing,Japan,Asia Pacific,Tokyo,,15935,2024-06-01,Small Business
C00187,Liam Taylor,B2C,Consumer,France,Europe,Lyon,,80528,2023-06-18,Consumer
C00188,Apex Enterprises,B2B,Construction,Mexico,North America,Mexico City,,95377,2023-07-01,Mid-Market
C00189,Hiroshi Nguyen,B2C,Consumer,India,Asia Pacific,Chennai,,83768,2025-05-28,Consumer
C00190,Mia Santos,B2C,Consumer,Mexico,North America,Mexico City,,44907,2023-01-28,Consumer
C00191,Meridian Import Export,B2B,Hospitality,Saudi Arabia,Middle East & Africa,Jeddah,,82099,2023-09-10,Enterprise
C00192,Apex Networks,B2B,Healthcare,Mexico,North America,Monterrey,,30375,2025-11-19,Small Business
C00193,Nova Ventures,B2B,Food & Beverage,Canada,North America,Montreal,,70081,2024-07-15,Small Business
C00194,Barbara Kim,B2C,Consumer,Japan,Asia Pacific,Tokyo,,56597,2025-05-10,Consumer
C00195,Global Enterprises,B2B,Education,Mexico,North America,Guadalajara,,34483,2024-08-28,Mid-Market
C00196,Apex Systems,B2B,Manufacturing,Mexico,North America,Monterrey,,58020,2024-09-22,Enterprise
C00197,Pinnacle Wholesale,B2B,Energy,United Kingdom,Europe,London,,26799,2025-04-28,Enterprise
C00198,Prime Systems,B2B,Food & Beverage,Colombia,Latin America,Bogota,,46518,2025-07-06,Enterprise
C00199,Vantage Partners,B2B,Telecommunications,Mexico,North America,Guadalajara,,68750,2024-04-23,Mid-Market
C00200,Global Logistics,B2B,Education,Canada,North America,Toronto,,14992,2025-11-01,Mid-Market
C00201,Bluewave Holdings,B2B,Energy,Vietnam,Asia Pacific,Hanoi,,14398,2023-06-18,Small Business
C00202,Beacon Partners,B2B,Manufacturing,Saudi Arabia,Middle East & Africa,Riyadh,,80850,2023-10-12,Enterprise
C00203,Quantum Industries,B2B,Construction,Germany,Europe,Hamburg,,71815,2023-09-19,Small Business
C00204,Beacon Networks,B2B,Telecommunications,Canada,North America,Montreal,,82728,2023-03-24,Small Business
C00205,Granite Import Export,B2B,Technology,Mexico,North America,Monterrey,,79334,2025-04-05,Small Business
C00206,Atlas Ventures,B2B,Government,United States,North America,Atlanta,WA,61430,2023-05-11,Mid-Market
C00207,Global Retail Group,B2B,Construction,Mexico,North America,Monterrey,,49972,2025-08-15,Small Business
C00208,Beacon Solutions,B2B,Education,India,Asia Pacific,Bengaluru,,93097,2023-04-29,Mid-Market
C00209,Vantage Depot,B2B,Consumer Goods,Mexico,North America,Guadalajara,,32063,2025-12-10,Small Business
C00210,Liam Davis,B2C,Consumer,United Kingdom,Europe,Birmingham,,28194,2023-09-01,Consumer
C00211,Union Commerce,B2B,Consumer Goods,Singapore,Asia Pacific,Singapore,,65013,2024-12-13,Mid-Market
C00212,Anchor Partners,B2B,Automotive,Germany,Europe,Hamburg,,28848,2025-04-11,Mid-Market
C00213,Summit Solutions,B2B,Telecommunications,Mexico,North America,Monterrey,,38066,2024-02-17,Mid-Market
C00214,Beacon Solutions,B2B,Hospitality,Singapore,Asia Pacific,Singapore,,27983,2025-10-26,Small Business
C00215,Bluewave Mart,B2B,Telecommunications,Singapore,Asia Pacific,Singapore,,47339,2024-07-29,Mid-Market
C00216,Vertex Traders,B2B,Education,Japan,Asia Pacific,Osaka,,13259,2023-09-04,Small Business
C00217,Nova Distribution,B2B,Agriculture,Mexico,North America,Mexico City,,22972,2023-05-10,Enterprise
C00218,Meridian Trading Co.,B2B,Healthcare,Canada,North America,Toronto,,59470,2023-12-11,Enterprise
C00219,Beacon Mart,B2B,Retail,Argentina,Latin America,Buenos Aires,,19747,2024-03-12,Small Business
C00220,Fatima Chen,B2C,Consumer,United Kingdom,Europe,London,,98801,2024-08-19,Consumer
C00221,Vantage Commerce,B2B,Education,Canada,North America,Montreal,,37654,2024-04-05,Mid-Market
C00222,Bluewave Traders,B2B,Government,Germany,Europe,Frankfurt,,15184,2024-10-11,Small Business
C00223,Vantage Trading Co.,B2B,Food & Beverage,Japan,Asia Pacific,Osaka,,39722,2024-08-07,Small Business
C00224,Sarah Nguyen,B2C,Consumer,United Arab Emirates,Middle East & Africa,Abu Dhabi,,59918,2023-02-07,Consumer
C00225,Horizon Commerce,B2B,Retail,United States,North America,Phoenix,GA,71559,2023-10-07,Mid-Market
C00226,Meridian Ventures,B2B,Education,Argentina,Latin America,Buenos Aires,,93222,2023-08-16,Mid-Market
C00227,Frontier Systems,B2B,Manufacturing,Mexico,North America,Guadalajara,,11006,2024-12-20,Mid-Market
C00228,Giulia Hernandez,B2C,Consumer,Spain,Europe,Madrid,,47644,2025-03-26,Consumer
C00229,Ananya Nguyen,B2C,Consumer,Australia,Asia Pacific,Melbourne,,79901,2023-04-13,Consumer
C00230,Metro Industries,B2B,Telecommunications,Canada,North America,Montreal,,71296,2023-06-22,Enterprise
C00231,Ava Khan,B2C,Consumer,Mexico,North America,Monterrey,,93424,2023-04-21,Consumer
C00232,Cascade Enterprises,B2B,Education,Netherlands,Europe,Rotterdam,,52221,2023-10-07,Enterprise
C00233,Ingrid Patel,B2C,Consumer,South Africa,Middle East & Africa,Johannesburg,,68850,2023-08-01,Consumer
C00234,Richard Li,B2C,Consumer,United Kingdom,Europe,Birmingham,,18955,2025-03-26,Consumer
C00235,Frontier Logistics,B2B,Consumer Goods,United Arab Emirates,Middle East & Africa,Dubai,,64403,2024-08-24,Enterprise
C00236,Elizabeth Jackson,B2C,Consumer,Singapore,Asia Pacific,Singapore,,60670,2025-08-08,Consumer
C00237,Ironclad Depot,B2B,Energy,Poland,Europe,Gdansk,,52061,2023-04-18,Small Business
C00238,Pinnacle Supply Co.,B2B,Energy,China,Asia Pacific,Shenzhen,,19967,2024-08-08,Mid-Market
C00239,Cascade Import Export,B2B,Food & Beverage,Mexico,North America,Guadalajara,,88866,2025-04-15,Small Business
C00240,Zenith Ventures,B2B,Hospitality,Mexico,North America,Guadalajara,,,2024-03-12,Mid-Market
C00241,Metro Industries,B2B,Automotive,Australia,Asia Pacific,Sydney,,10411,2023-06-04,Mid-Market
C00242,Anthony Thompson,B2C,Consumer,Australia,Asia Pacific,Melbourne,,23488,2023-03-12,Consumer
C00243,Silverline Merchants,B2B,Retail,Mexico,North America,Monterrey,,67198,2024-09-24,Enterprise
C00244,Rahul Clark,B2C,Consumer,United Kingdom,Europe,Birmingham,,97785,2023-08-19,Consumer
C00245,Ava Anderson,B2C,Consumer,China,Asia Pacific,Shanghai,,18778,2024-06-18,Consumer
C00246,Ironclad Wholesale,B2B,Automotive,Brazil,Latin America,Curitiba,,55390,2024-11-07,Enterprise
C00247,Granite Trading Co.,B2B,Construction,China,Asia Pacific,Shenzhen,,43652,2023-12-17,Small Business
C00248,Horizon Systems,B2B,Retail,Spain,Europe,Madrid,,16223,2024-05-06,Enterprise
C00249,Diego Smith,B2C,Consumer,Poland,Europe,Gdansk,,17869,2025-09-20,Consumer
C00250,Sterling Distribution,B2B,Manufacturing,Netherlands,Europe,Amsterdam,,80281,2023-11-28,Small Business
C00251,Atlas Wholesale,B2B,Energy,Australia,Asia Pacific,Sydney,,25271,2024-08-22,Small Business
C00252,Mia Davis,B2C,Consumer,Colombia,Latin America,Bogota,,38914,2024-05-25,Small Business
C00253,Apex Merchants,B2B,Consumer Goods,France,Europe,Lyon,,96343,2023-03-01,Enterprise
C00254,Granite Industries,B2B,Telecommunications,United States,North America,Newark,IL,35322,2024-12-09,Enterprise
C00255,Granite Traders,B2B,Retail,Mexico,North America,Monterrey,,78618,2024-05-09,Small Business
